question_type,os_topic,gpt3.5_pts_earned,bard_pts_earned,gpt4_pts_earned,gemini_pts_earned,claude_pts_earned,bing_pts_earned,llama_pts_earned
q,p,1,0,1,1,1,1,0
q,p,1,1,1,1,1,1,1
m,p,1,1,0,1,0,0,1
q,m,1,0,1,0,1,1,0
q,m,0,0,1,1,0,1,1
m,m,1,1,1,0,1,1,0
q,m,0,1,1,1,1,1,0
q,m,0,0,0,0,0,0,0
q,p,1,1,1,1,1,1,0
m,p,0,1,0,0,1,0,1
m,p,1,0,0,0,0,0,0
q,p,1,1,1,0,1,1,1
m,m,1,0,1,1,0,1,0
dm,m,0,0,1,0,1,0,1
m,m,0,1,1,0,1,0,0
q,m,0,0,0,0,0,0,0
q,d,0,0,1,1,1,1,1
m,m,1,0,1,1,1,1,1
m,m,1,0,0,0,1,1,0
m,m,1,0,0,0,0,0,0
q,m,1,1,1,1,1,1,1
m,m,0,0,0,0,0,0,0
m,m,1,0,0,0,0,0,0
m,p,0,0,0,0,0,0,0
q,m,0,1,0,0,1,1,1
m,m,0,0,0,0,0,0,1
q,p,0,0,0,0,0,0,0
q,d,0,1,1,1,1,1,0
q,m,0,0,1,1,0,1,0
q,m,1,1,1,1,1,1,1
q,d,1,0,1,0,0,1,0
q,d,0,0,1,0,0,1,0
